name,hp,average_price,age,converted_retreat_cost,pokedex_nr,type,damage,converted_energy_cost,resistance,weakness
Absol G,70,11.14,5391,1,359,2,0,0.0,90,140
Caterpie,40,0.06,3669,1,10,7,10,1.0,40,80
Bastiodon,130,1.05,6109,3,411,9,60,3.0,150,170
Arcanine,90,51.73,7799,3,59,6,30,3.0,90,180
Blaziken FB,80,4.51,5391,1,257,6,15,1.0,80,160
Blastoise,100,51.93,8855,3,9,11,40,3.0,100,200
Aggron,110,4.36,6686,4,306,9,35,1.5,140,220
Dark Ampharos,120,17.63,7143,2,181,8,50,2.5,120,240
Tangela,80,0.06,2850,3,114,7,35,2.5,80,160
Snivy,60,0.63,4777,1,495,7,15,1.5,80,120
Blaine's Arcanine,90,33.74,8620,3,59,6,80,3.5,90,180
Venusaur V,220,2.54,1336,3,3,7,150,3.5,220,440
Caterpie,50,0.04,2666,1,10,7,10,1.0,50,100
Armaldo δ,110,9.57,6597,3,348,5,60,2.5,110,220
Manaphy,70,1.25,6109,1,490,11,15,1.0,70,90
Dragonite δ,100,57.3,6779,2,149,8,50,3.0,130,200
Cradily δ,100,7.39,6597,2,346,2,35,2.5,100,200
Blaine's Charizard,100,210.99,8620,3,6,6,10,0.5,130,200
Morelull,50,0.17,1875,1,755,7,10,1.0,50,100
Gallade,130,6.45,5927,2,475,5,30,1.5,130,160
Deoxys,80,9.1,4852,1,386,10,60,3.0,80,160
Blaziken,130,3.77,5580,1,257,6,70,2.5,130,160
Metapod,90,0.07,1735,2,11,7,30,2.0,90,180
Bellsprout,60,0.05,2575,1,69,7,30,2.0,60,120
Team Aqua's Cacturne,80,6.26,7388,2,332,7,25,2.0,80,160
Weedle,50,0.11,4033,1,13,7,10,1.0,50,100
Absol,70,14.21,7486,1,359,2,10,1.0,100,140
Venusaur,140,40.0,5286,4,3,7,50,4.0,140,280
Arcanine,110,2.72,5216,2,59,6,70,3.0,110,220
Blaine's Moltres,90,52.54,8683,3,146,6,90,5.0,120,90
Aerodactyl,60,14.14,8992,2,142,5,30,3.0,90,120
Blastoise,120,11.2,6048,2,9,11,50,3.0,120,150
Metapod,70,0.08,3669,2,11,7,0,0.0,70,140
Azumarill,90,2.5,5216,2,184,11,50,2.5,90,180
Ludicolo,140,1.39,1875,3,272,7,70,3.0,140,280
Cherrim,80,17.5,5286,1,421,7,60,3.0,100,160
Dialga,90,4.28,6232,2,483,9,25,2.0,110,110
Oddish,50,0.06,3207,1,43,7,10,1.0,50,100
Dratini,40,3.94,4248,1,147,3,5,0.5,40,80
Oddish,60,0.1,1665,1,43,7,0,0.0,60,120
Clefable,80,1.9,5216,1,36,1,20,1.0,80,160
Erika's Clefable,70,19.52,8683,2,36,1,15,1.5,100,140
Dark Alakazam,60,36.22,8795,3,65,10,35,3.0,60,120
Tangela,70,0.19,3851,2,114,7,15,2.0,90,140
Blastoise,120,40.0,6627,2,9,11,45,3.0,120,240
Blaziken,130,3.74,5956,1,257,6,15,0.5,130,160
Bulbasaur,60,0.44,4397,2,1,7,20,2.0,80,120
Celebi V,180,1.71,1567,1,251,7,25,1.0,180,360
Alakazam,80,22.65,8035,3,65,10,30,3.0,80,160
Alolan Sandshrew,60,0.65,1682,1,27,11,10,0.0,60,120
Butterfree,130,0.11,1735,1,12,7,80,2.0,130,260
Dragonite,100,66.83,8992,1,149,1,40,4.0,130,100
Charmander,60,0.34,1875,1,4,6,20,1.0,60,120
Deoxys δ,70,11.92,6505,1,386,1,20,2.0,70,140
Delcatty,80,4.23,6686,1,301,1,30,2.0,80,160
Flygon,120,8.6,7486,2,330,1,15,1.5,150,240
Pineco,60,0.12,3669,2,204,7,20,2.0,60,120
Espeon δ,70,37.0,6779,1,196,10,30,2.0,70,140
Brock's Ninetales,70,38.79,8620,1,38,6,30,2.0,70,140
Metagross,100,12.0,7204,3,376,9,40,3.0,130,200
Froslass,80,1.04,5314,1,478,11,50,2.0,80,100
Metapod,80,0.08,2483,2,11,7,10,0.5,80,160
Lileep,80,0.25,3935,2,345,7,20,2.0,100,160
Drapion,100,1.94,4950,3,452,2,60,3.5,120,200
Deoxys δ,70,13.36,6597,1,386,2,60,3.0,70,140
Hoppip,30,0.12,4299,1,187,7,10,1.0,50,60
Skiploom,70,0.08,2850,1,188,7,20,1.0,70,140
Mamoswine,140,1.27,4950,4,473,11,55,3.5,140,280
Yanmega,120,0.07,2302,1,469,7,75,2.5,140,240
Electivire FB,90,2.36,5391,3,466,8,20,1.5,110,180
Kakuna,80,0.04,1287,3,14,7,10,0.5,80,160
Erika's Venusaur,90,56.7,8620,2,3,7,10,2.0,90,180
Charizard,120,71.66,8035,3,6,6,100,4.0,150,240
Kricketot,60,0.09,4488,1,401,7,10,1.5,60,120
Magmortar,110,1.36,5125,2,467,6,75,3.5,110,220
Weedle,40,0.04,1287,1,13,7,0,0.0,40,80
Blaziken,110,68.5,7204,2,257,6,45,2.5,110,220
Turtwig,70,0.07,4124,2,387,7,15,1.5,90,140
Dark Ampharos,70,93.44,8120,2,181,8,50,3.0,70,140
Latias,80,3.8,5927,1,380,1,45,2.0,100,100
Gyarados,130,6.29,5216,3,130,11,65,3.5,150,260
M Venusaur-EX,230,9.97,3760,4,3,7,120,4.0,230,460
Beautifly,100,5.42,7051,1,267,7,35,2.0,100,200
Dialga,100,6.75,4852,3,483,9,70,4.0,120,200
Tangrowth,120,0.64,3851,4,465,7,45,2.5,140,240
Azumarill,70,37.5,7799,1,184,11,40,3.0,70,140
Articuno,70,11.75,8035,2,144,11,40,3.5,100,70
Onix,90,16.98,8332,3,95,5,30,3.0,90,180
Charizard,120,106.33,8855,3,6,6,100,4.0,150,240
Grotle,100,0.13,4124,3,388,7,40,3.0,120,200
Vileplume,130,0.42,3207,3,45,7,70,3.0,130,260
Charmander,70,1.14,2085,2,4,6,20,2.0,70,140
Dark Electrode,70,12.94,7143,1,101,8,30,1.0,70,140
Roselia,70,0.05,1567,1,315,7,10,1.0,70,140
Tangela,80,0.07,3396,2,114,7,25,2.5,80,160
Flareon δ,70,44.98,6779,1,136,6,30,2.0,70,140
Gengar,80,52.42,8992,1,94,10,30,3.0,110,80
Ariados,70,4.02,6870,1,168,7,5,0.5,70,140
Bellossom,120,0.1,3207,1,182,7,40,1.5,120,240
Dialga,100,2.28,5580,3,483,9,50,3.0,120,200
Electabuzz,60,2.78,9093,2,125,8,5,1.0,60,120
Jirachi,60,1.5,5125,1,385,10,0,0.0,60,120
Pikachu,60,7.47,9093,1,25,8,10,1.0,60,120
Chimecho δ,60,372.5,6505,1,358,9,15,1.0,60,120
Charizard,140,16.83,5314,3,6,6,55,2.0,160,170
Exploud,120,9.5,6962,2,295,1,35,2.25,120,240
Pachirisu,70,0.42,6109,1,417,8,10,0.5,90,90
Team Aqua's Crawdaunt,80,4.24,7388,1,342,11,30,2.5,80,160
Venomoth,90,0.33,3487,1,49,7,25,1.5,90,180
Delcatty,90,2.5,5580,1,301,1,35,2.0,90,110
Kakuna,80,0.04,1336,3,14,7,30,1.0,80,160
Dark Arbok,60,6.39,8795,2,24,7,5,1.5,60,120
Lugia,80,39.98,6293,2,249,10,25,2.5,80,160
Cresselia,80,2.46,5956,1,488,10,30,2.0,80,100
Flareon,70,16.4,6627,1,136,6,40,2.5,70,140
Manaphy,70,1.23,5562,1,490,11,0,0.0,70,90
Yanma,70,0.02,2302,1,193,7,20,2.0,90,140
Venusaur,140,3.2,4397,4,3,7,70,4.0,160,280
Gengar,100,12.34,6686,1,94,10,30,1.5,130,200
Heatran,100,1.16,5314,3,485,6,40,3.0,100,200
Cradily,120,0.8,3935,2,346,7,30,1.5,140,240
Flygon,120,3.5,6505,2,330,5,50,3.0,120,240
Gardevoir,100,4.52,6962,2,282,10,45,3.0,100,200
Darkrai,70,3.53,5956,1,491,2,25,1.5,90,90
Bellossom,90,17.69,7799,2,182,7,30,3.0,120,180
Yanma,70,0.09,3487,1,193,7,30,2.0,90,140
Shuckle,80,0.48,3851,1,213,7,20,1.5,80,160
Latios,90,2.92,5927,2,381,1,65,2.5,110,110
Venusaur-EX,180,4.49,3760,4,3,7,75,3.5,180,360
Ampharos,90,17.71,8280,3,181,8,30,2.5,90,180
Ivysaur,90,1.92,4397,3,2,7,35,2.5,110,180
Weepinbell,80,0.08,2575,2,70,7,40,2.0,80,160
Gloom,80,0.18,4215,1,44,7,20,1.5,100,160
Dragonair,70,1.39,4248,2,148,3,15,1.0,70,140
Dusknoir,120,2.87,6232,3,477,10,0,0.0,140,150
Entei,80,4.39,6048,2,244,6,60,3.0,80,100
Hoppip,40,0.05,2850,1,187,7,10,1.0,40,80
Roselia,70,0.06,1567,1,315,7,10,1.0,70,140
Seedot,40,0.06,4488,1,273,7,10,1.0,60,80
Kakuna,80,0.13,1938,3,14,7,20,2.0,80,160
Ampharos,120,8.32,6870,2,181,8,50,3.0,150,240
Togepi,40,19.95,8332,1,175,1,10,1.0,70,40
Gloom,80,0.06,1665,2,44,7,20,1.0,80,160
Hitmontop,60,1.92,5216,1,237,5,40,2.0,60,120
Golem,120,3.79,7486,4,76,5,40,4.0,120,240
Team Aqua's Kyogre,100,2.97,7388,3,382,11,30,2.5,100,200
Dragonite,150,2.41,4248,3,149,3,55,3.5,150,300
Flygon,120,2.3,6048,1,330,5,60,3.0,140,150
Servine,80,0.28,4777,1,496,7,25,1.5,100,160
Breloom,80,5.6,7051,1,286,5,45,2.0,80,160
Blissey,120,12.04,8280,2,242,1,30,4.0,150,240
Dark Donphan,60,32.55,8120,3,232,5,25,1.5,90,120
Vileplume,140,1.21,4215,3,45,7,50,4.0,160,280
Paras,70,0.06,1735,1,46,7,15,1.5,70,140
Seedot,50,0.08,3669,1,273,7,0,0.0,50,100
Blastoise δ,110,21.46,6505,3,9,5,30,1.5,110,220
Charizard,180,9.73,1875,3,6,6,125,3.5,180,360
Dialga,100,2.24,5580,2,483,9,100,4.0,120,120
Tangrowth,130,0.31,3396,4,465,7,65,3.5,130,260
Nuzleaf,80,0.1,3669,1,274,7,30,2.0,80,160
Camerupt,80,5.0,6505,2,323,6,25,1.5,80,160
Dark Blastoise,70,79.64,8795,2,9,11,35,2.5,70,140
Nidoking,140,2.08,4950,3,34,5,80,4.0,160,280
Torterra,150,1.0,4124,4,389,7,70,3.5,170,300
Charizard,160,3.58,2085,2,6,6,130,3.0,160,320
Jumpluff,90,0.34,2850,1,189,7,10,0.5,90,180
Arcanine,120,2.6,1875,3,59,6,90,3.0,120,240
Kakuna,80,0.12,4033,2,14,7,0,0.0,80,160
Minun,50,8.3,6627,1,312,8,7,0.6666666666666666,80,100
Kricketune,90,0.11,4488,1,402,7,30,1.5,90,180
Vileplume-GX,240,3.52,1665,2,45,7,115,1.5,240,480
Treecko,60,0.2,3396,1,252,7,10,1.0,60,120
Gastly,50,1.03,1682,1,92,10,0,0.0,70,100
Giovanni's Gyarados,90,55.66,8620,3,130,11,20,2.0,120,180
Clefable,70,12.96,8855,2,36,1,0,0.0,100,140
Kakuna,70,0.3,3760,2,14,7,0,0.0,70,140
Hitmonlee,60,26.8,8992,1,106,5,25,1.5,60,120
Plusle,50,4.4,6627,1,311,8,7,0.6666666666666666,80,100
Dark Hypno,70,11.49,7143,1,97,10,10,1.0,70,140
Dialga G,100,6.24,5580,2,483,9,30,2.5,120,200
Entei,70,70.83,7799,1,244,6,40,3.0,70,140
Dragonite,90,9.89,9093,2,149,1,60,3.0,120,90
Gardevoir,120,2.08,5580,1,282,10,40,2.0,120,150
Lapras,80,10.82,6686,2,131,11,30,2.0,80,160
Cottonee,60,0.05,1567,1,546,7,10,1.0,60,120
Beedrill,120,0.51,3760,1,15,7,30,1.5,120,240
Gastrodon East Sea,100,1.9,6048,4,423,11,80,3.0,120,130
Magikarp,30,0.25,1875,1,129,11,0,0.0,30,60
Exeggcute,40,0.11,2211,1,102,7,0,0.0,40,80
Charizard δ,120,94.22,6505,2,6,8,120,4.0,120,240
Parasect,100,0.26,3123,2,47,7,15,1.0,100,200
Sceptile,130,0.98,3396,2,254,7,70,3.0,130,260
Lapras,120,1.0,1682,2,131,11,45,2.0,120,240
Tangrowth,140,0.35,2029,3,465,7,70,3.5,140,280
Beedrill,140,0.06,1336,1,15,7,80,1.0,140,280
Raichu,90,8.75,5562,1,26,8,45,2.5,110,110
Celebi,50,39.71,8280,1,251,10,0,0.0,50,100
Gardevoir δ,100,13.0,6779,2,282,10,5,1.5,100,200
Mewtwo,70,6.64,9093,2,150,10,20,1.5,70,140
Pikachu,60,3.08,1682,1,25,8,20,1.0,80,120
Roselia,70,0.06,2302,1,315,7,30,2.0,70,140
Blissey,120,56.59,7799,2,242,1,50,3.0,120,240
Metagross,130,2.63,5125,4,376,10,30,1.0,130,260
Espeon,90,18.5,4852,1,196,10,15,1.0,90,180
Pinsir-GX,180,0.95,1735,2,127,7,135,3.0,180,360
Yanma,70,0.03,2850,1,193,7,20,1.5,90,140
Kabutops,110,7.04,6686,2,141,5,40,2.0,110,220
Ninetales,90,8.45,5216,1,38,6,60,3.0,90,180
Tangela,80,0.11,4215,2,114,7,25,1.5,100,160
Petilil,50,0.04,2575,1,548,7,10,1.0,50,100
Dark Charizard,80,110.7,8795,3,6,6,30,1.5,110,160
Carnivine,80,0.36,3851,2,455,7,20,2.0,100,160
Butterfree,130,0.18,2666,1,12,7,55,2.0,130,260
Vulpix,60,0.06,1336,1,37,6,5,0.5,60,120
Kyogre,80,4.99,6962,2,382,11,25,2.0,80,160
Yanma,70,0.15,4299,1,193,7,20,2.0,90,140
Grumpig,80,2.5,7486,1,326,10,35,2.5,80,160
Dark Dragonite,70,73.5,8795,2,149,1,70,4.0,100,70
Mismagius,90,2.3,5125,1,429,10,30,1.0,110,180
Gloom,80,0.14,2483,2,44,7,15,1.0,80,160
Mankey,60,1.41,1682,1,56,5,10,1.0,60,120
Lilligant,90,0.2,2575,1,549,7,20,1.0,90,180
Exeggcute,30,1.29,4033,1,102,7,20,2.0,50,60
Pachirisu,70,1.78,5956,1,417,8,5,0.5,90,90
Charmander,70,0.08,1735,1,4,6,15,1.5,70,140
Shelmet,60,0.08,3935,3,616,7,10,1.0,60,120
Noctowl,90,1.1,5216,1,164,1,40,3.0,110,180
Magmortar,110,4.35,5391,2,467,6,30,1.5,110,140
Vaporeon,70,11.73,6627,1,134,11,25,1.5,70,140
Rapidash,90,14.37,4950,1,78,6,50,3.0,90,180
Team Aqua's Walrein,120,3.52,7388,2,365,11,30,2.5,120,240
Exeggcute,40,0.09,3305,1,102,7,5,0.5,40,80
Wurmple,60,0.12,4299,1,265,7,0,0.0,60,120
Giratina,100,3.55,5580,3,487,10,60,3.0,120,200
Erika's Vileplume,80,7.59,8683,2,45,7,30,3.0,80,160
Arcanine,70,6.57,9093,1,59,6,25,2.0,70,140
Combusken,80,0.15,2085,1,256,6,60,2.0,80,160
Minun,50,5.25,7486,1,312,8,0,0.0,80,100
Exeggutor,100,0.76,4033,2,103,7,35,2.0,120,200
Pansage,70,0.08,4488,1,511,7,30,2.0,90,140
Burmy,60,0.06,2943,1,412,7,10,1.0,60,120
Weedle,50,0.11,3760,1,13,7,10,1.0,50,100
Darkrai,80,1.9,5956,1,491,2,25,2.0,100,100
Scyther,80,0.09,2029,1,123,7,10,2.0,80,160
Victreebel,140,0.26,2575,2,71,7,50,2.0,140,280
Tropius,100,0.19,3935,1,357,7,15,1.5,120,200
Ivysaur,60,14.18,8332,1,2,7,15,1.0,60,120
Roserade,120,0.22,1567,1,407,7,60,2.0,120,240
Wormadam,120,0.12,2943,2,413,7,40,2.0,120,240
Scyther,100,0.07,1735,1,123,7,20,1.5,100,200
Golem,120,22.5,6686,3,76,5,23,1.3333333333333333,120,240
Dark Blastoise,70,35.48,8035,2,9,11,35,2.5,70,140
Gallade,130,2.36,6048,2,475,5,30,1.5,130,160
Team Aqua's Manectric,70,6.94,7388,1,310,8,50,3.0,100,140
Erika's Dragonair,80,31.52,8683,2,148,1,15,1.5,110,80
Pinsir,110,0.06,2029,2,127,7,45,2.0,110,220
Deoxys δ,80,6.95,6597,2,386,9,30,2.0,80,160
Gardevoir,110,5.71,6048,2,282,10,60,3.0,110,140
Servine,80,0.64,4777,1,496,7,30,2.0,100,160
Karrablast,60,0.13,3935,1,588,7,20,2.0,60,120
Psyduck,80,0.44,1875,3,54,11,10,1.0,80,160
Porygon-Z,110,1.63,4950,2,474,1,80,3.0,110,220
Dark Feraligatr,80,46.8,8120,3,160,11,50,3.0,80,160
Mew δ,60,160.0,6293,1,151,6,0,0.0,60,120
Giovanni's Machamp,100,30.69,8620,3,68,5,30,4.0,100,200
Ledyba,40,12.95,8332,1,165,7,15,1.5,70,80
Flaaffy,80,8.34,5927,1,180,8,35,2.0,100,100
Grovyle,80,0.36,3396,1,253,7,30,2.0,80,160
Combee,30,0.21,4124,1,415,7,30,1.0,30,60
Hypno,90,20.01,8992,2,97,10,15,1.5,90,180
Manectric,80,1.12,6962,1,310,8,30,2.5,110,160
Tangrowth,130,1.4,4215,4,465,7,50,2.5,150,260
Clefairy,40,15.45,9266,1,35,1,0,0.0,70,80
Porygon-Z,110,2.2,5956,2,474,1,40,2.0,110,140
Whimsicott,100,0.11,1567,1,547,7,25,0.5,100,200
Servine,80,0.2,3851,1,496,7,30,2.0,100,160
Ledyba,60,0.14,3760,1,165,7,30,2.0,60,120
Charmeleon,80,0.51,2085,2,5,6,80,3.0,80,160
Beedrill,130,0.34,1938,1,15,7,45,1.0,130,260
Blastoise,100,73.12,9266,3,9,11,40,3.0,100,200
Butterfree,120,0.22,2483,1,12,7,30,1.5,120,240
Rampardos,120,0.29,6109,1,409,5,65,2.5,120,150
Bagon,50,7.99,4248,1,371,3,15,1.5,50,100
Camerupt,90,1.98,7051,2,323,6,0,0.0,90,180
Mew,70,21.3,6505,1,151,10,20,2.0,70,140
Paras,70,0.08,1938,1,46,7,15,1.5,70,140
Empoleon,130,2.4,6232,2,395,11,35,1.5,130,160
Regigigas,100,2.45,5562,4,486,1,35,3.5,100,200
Bellossom,90,5.56,6870,1,182,7,25,1.5,120,180
Cherubi,40,0.3,3851,1,420,7,10,1.0,60,80
Bellossom,110,0.42,4215,1,182,7,30,2.0,130,220
Dark Houndoom,70,10.97,7143,1,229,6,30,2.5,100,140
Chansey,120,20.14,9266,1,113,1,40,2.0,150,240
Groudon,80,7.22,6962,1,383,5,25,2.0,80,160
Eldegoss V,180,1.49,1336,1,830,7,50,2.0,180,360
Kabutops,130,3.56,5314,2,141,5,40,2.0,130,160
Shelgon,80,1.16,4248,3,372,3,30,2.0,80,160
Shiftry,140,1.0,3669,2,275,7,20,3.0,140,280
Dark Dragonite,70,27.48,8035,2,149,1,70,4.0,100,70
Roserade,100,0.17,2302,1,407,7,50,1.5,100,200
Pikachu,50,7.14,9093,1,25,8,25,1.5,50,100
Rotom,70,3.12,5562,1,479,8,30,2.0,90,90
Feraligatr,120,8.81,6870,2,160,11,40,2.5,120,240
Swampert,100,1.35,7204,2,260,11,35,2.0,100,200
Dark Gengar,70,108.58,8120,2,94,10,30,3.0,100,70
Flareon,70,21.5,6870,1,136,6,30,2.0,70,140
Forretress,90,2.15,4852,3,205,9,30,2.5,110,180
Salamence,140,2.81,4248,2,373,3,90,4.0,140,280
Shaymin-EX,110,2.95,4488,1,492,7,15,1.0,130,220
Snivy,60,0.26,3851,1,495,7,10,2.0,80,120
Jolteon δ,70,45.55,6779,1,135,8,30,2.0,100,140
Torchic,60,0.18,2085,1,255,6,0,0.0,60,120
Lucario,90,3.38,6232,1,448,5,35,1.5,90,110
Paras,60,0.05,2666,1,46,7,30,2.0,60,120
Clefairy,40,8.6,8855,1,35,1,0,0.0,70,80
Claydol,80,4.86,7051,1,344,5,20,2.0,80,160
Carnivine,90,0.61,4397,2,455,7,0,0.0,110,180
Turtwig,70,0.1,2302,2,387,7,15,1.0,70,140
Sewaddle,50,0.06,3487,1,540,7,10,1.0,50,100
Delibird,60,14.78,8280,1,225,1,0,0.0,90,120
Tangela,70,0.06,1665,2,114,7,0,0.0,70,140
Alakazam,100,42.5,7682,2,65,10,30,3.0,100,200
Arcanine,100,4.45,5486,2,59,6,45,2.5,100,120
Paras,60,0.11,3123,1,46,7,10,1.0,60,120
Tangrowth,140,0.07,1665,3,465,7,45,2.0,140,280
Victini,70,0.05,1336,1,494,6,15,1.0,70,140
Machamp,120,3.83,6686,2,68,5,50,2.5,120,240
Chikorita,60,0.14,2029,1,152,7,10,1.0,60,120
Alolan Exeggutor,160,0.55,2211,3,103,7,20,1.0,160,320
Gyarados,100,12.38,9266,3,130,11,45,3.5,130,200
Quagsire,100,2.45,5216,3,195,11,50,3.5,120,200
Charmeleon,100,0.09,1735,1,5,6,55,2.5,100,200
Milotic,90,4.51,6962,2,350,11,35,2.0,90,180
Parasect,100,0.28,1938,2,47,7,30,2.0,100,200
Dark Marowak,70,7.66,7143,1,105,5,50,2.5,70,140
Arcanine,80,149.5,7682,2,59,6,40,2.0,80,160
Buizel,60,2.27,5562,1,418,11,15,1.0,60,70
Exeggcute,60,0.03,1287,1,102,7,10,1.0,60,120
Solrock,70,3.45,4950,1,338,5,20,1.0,70,140
Crawdaunt,70,4.11,7051,1,342,2,30,2.5,100,140
Dark Houndoom,60,38.18,8120,1,229,6,15,1.0,60,120
Parasect,110,0.17,2666,3,47,7,40,2.5,110,220
Armaldo,120,2.65,7553,3,348,5,60,3.0,120,240
Bellsprout,60,0.06,2120,1,69,7,20,2.0,60,120
Snivy,60,0.95,4832,1,495,7,20,2.0,80,120
Incineroar V,220,1.23,1336,3,727,6,155,3.5,220,440
Alolan Meowth,60,1.66,1682,1,52,2,10,0.0,80,120
Butterfree,80,8.28,8332,1,12,7,25,3.0,110,160
Hitmonchan,70,83.0,9266,2,107,5,30,2.0,70,140
Riolu,60,16.69,6109,1,447,5,30,1.0,60,70
Octillery,80,1.95,5125,2,224,11,25,1.5,80,160
Dark Porygon2,60,26.84,8120,1,233,1,20,3.0,90,120
Rayquaza,80,19.88,6962,2,384,1,20,1.5,80,160
Exeggutor,140,0.13,1287,3,103,7,60,2.0,140,280
Salamence,140,2.42,5314,2,373,1,60,3.5,160,170
Articuno,80,90.0,7682,2,144,11,30,2.5,110,160
Seedot,50,0.03,2850,1,273,7,0,0.0,50,100
Trevenant,120,0.1,2575,2,709,7,60,2.5,120,240
Butterfree V,190,1.19,1378,1,12,7,65,1.5,190,380
Caterpie,50,0.04,1483,1,10,7,10,1.0,50,100
Venusaur-EX,180,3.67,2759,4,3,7,75,3.5,180,360
Servine,70,0.12,2943,1,496,7,20,1.0,70,140
Bayleef,100,0.17,2029,2,153,7,35,2.0,100,200
Gyarados,90,21.2,7051,2,130,11,23,2.0,90,180
Marowak δ,80,9.95,6779,1,105,5,25,1.5,80,160
Torterra,180,0.72,2302,4,389,7,115,3.5,180,360
Victreebel,140,1.86,2120,2,71,7,80,3.0,140,280
Volbeat,70,0.16,3760,1,313,7,15,1.0,70,140
Cradily,100,2.88,7553,2,346,7,25,1.5,100,200
Beautifly,120,1.75,4299,1,267,7,20,1.5,120,240
Dark Slowking,80,5.75,7143,1,199,10,20,2.0,80,160
Gabite,80,1.81,5562,1,444,1,30,1.5,80,100
Dark Scizor,70,32.43,8120,2,212,9,15,1.5,100,140
Grovyle,80,0.26,4033,1,253,7,25,1.5,100,160
Sceptile,140,8.37,3396,2,254,7,75,2.0,140,280
Jigglypuff,50,5.42,9093,1,39,1,20,1.5,80,100
Yanma,80,0.04,1287,1,193,7,35,2.0,80,160
Sizzlipede,70,0.04,1336,1,850,6,30,2.0,70,140
Alolan Dugtrio,60,1.41,1682,1,51,9,30,0.0,80,120
Tangrowth,140,0.11,2483,4,465,7,40,2.5,140,280
Luxray,120,2.56,6232,1,405,8,80,4.0,140,150
Aggron,110,8.47,7632,4,306,9,40,3.0,140,220
Deoxys δ,70,18.44,6597,1,386,1,20,2.0,70,140
Latias,100,4.37,4248,1,380,3,20,1.0,100,200
Onix,100,0.87,1682,2,95,5,5,1.0,100,200
Greninja,140,5.89,1875,1,658,11,0,0.0,140,280
Turtwig,80,0.11,2302,2,387,7,35,2.5,80,160
Gyarados,100,15.22,8855,3,130,11,45,3.5,130,200
Dark Raichu,70,36.4,8035,1,26,8,30,3.0,70,140
Blaziken,150,0.8,2085,2,257,6,90,3.0,150,300
Simisage,90,0.52,4649,2,512,7,45,2.5,110,180
